File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/164.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	Auto 2
Injection Number	27
Position	3
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Unknown
Status	Finished
Injection Date	3/10/2023
Injection Time	4:00:30 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000530
Time Max. (min)	8.022197
Data Points	9627
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.471615
Signal Max.	65,140.120443
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.320530	0.05	-3.423177
0.321364	0.05	-3.425000
0.322197	0.05	-3.429167
0.323030	0.05	-3.432682
0.323864	0.05	-3.432813
0.324697	0.05	-3.429427
0.325530	0.05	-3.425521
0.326364	0.05	-3.426432
0.327197	0.05	-3.428385
0.328030	0.05	-3.421484
0.328864	0.05	-3.426953
0.329697	0.05	-3.424219
0.330530	0.05	-3.433073
0.331364	0.05	-3.427474
0.332197	0.05	-3.427734
0.333030	0.05	-3.426172
0.333864	0.05	-3.424740
0.334697	0.05	-3.422786
0.335530	0.05	-3.428255
0.336364	0.05	-3.429948
0.337197	0.05	-3.434505
0.338030	0.05	-3.436328
0.338864	0.05	-3.428516
0.339697	0.05	-3.432943
0.340530	0.05	-3.421224
0.341364	0.05	-3.435156
0.342197	0.05	-3.423438
0.343030	0.05	-3.437240
0.343864	0.05	-3.428125
0.344697	0.05	-3.441797
0.345530	0.05	-3.430339
0.346364	0.05	-3.438411
0.347197	0.05	-3.423958
0.348030	0.05	-3.432943
0.348864	0.05	-3.427474
0.349697	0.05	-3.434766
0.350530	0.05	-3.427865
0.351364	0.05	-3.430339
0.352197	0.05	-3.427734
0.353030	0.05	-3.433333
0.353864	0.05	-3.432552
0.354697	0.05	-3.427214
0.355530	0.05	-3.393229
0.356364	0.05	-3.381250
0.357197	0.05	-3.387760
0.358030	0.05	-3.424870
0.358864	0.05	-3.432161
0.359697	0.05	-3.438021
0.360530	0.05	-3.434896
0.361364	0.05	-3.437891
0.362197	0.05	-3.436589
0.363030	0.05	-3.435417
0.363864	0.05	-3.438411
0.364697	0.05	-3.436198
0.365530	0.05	-3.433333
0.366364	0.05	-3.439323
0.367197	0.05	-3.435286
0.368030	0.05	-3.441276
0.368864	0.05	-3.432292
0.369697	0.05	-3.431510
0.370530	0.05	-3.427734
0.371364	0.05	-3.431120
0.372197	0.05	-3.433984
0.373030	0.05	-3.439844
0.373864	0.05	-3.439323
0.374697	0.05	-3.447526
0.375530	0.05	-3.444922
0.376364	0.05	-3.444531
0.377197	0.05	-3.440885
