File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/677.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	PHB 10ug/mL
Injection Number	34
Position	2
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Calibration Standard
Status	Finished
Injection Date	3/10/2023
Injection Time	5:08:57 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000114
Time Max. (min)	8.022614
Data Points	9628
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.505339
Signal Max.	64,955.890234
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.537614	0.05	-3.475391
0.538447	0.05	-3.474089
0.539280	0.05	-3.476042
0.540114	0.05	-3.479167
0.540947	0.05	-3.480469
0.541780	0.05	-3.482682
0.542614	0.05	-3.479948
0.543447	0.05	-3.479036
0.544280	0.05	-3.477995
0.545114	0.05	-3.478385
0.545947	0.05	-3.476693
0.546780	0.05	-3.473958
0.547614	0.05	-3.473698
0.548447	0.05	-3.476172
0.549280	0.05	-3.476042
0.550114	0.05	-3.475651
0.550947	0.05	-3.474219
0.551780	0.05	-3.476563
0.552614	0.05	-3.478516
0.553447	0.05	-3.478906
0.554280	0.05	-3.477865
0.555114	0.05	-3.477344
0.555947	0.05	-3.480078
0.556780	0.05	-3.482031
0.557614	0.05	-3.480729
0.558447	0.05	-3.475911
0.559280	0.05	-3.472917
0.560114	0.05	-3.471615
0.560947	0.05	-3.470703
0.561780	0.05	-3.470443
0.562614	0.05	-3.475130
0.563447	0.05	-3.479427
0.564280	0.05	-3.480339
0.565114	0.05	-3.477734
0.565947	0.05	-3.476953
0.566780	0.05	-3.476042
0.567614	0.05	-3.474870
0.568447	0.05	-3.475260
0.569280	0.05	-3.478646
0.570114	0.05	-3.484635
0.570947	0.05	-3.485026
0.571780	0.05	-3.485026
0.572614	0.05	-3.480339
